가구별 일련번호,가구구분,가구원수,취업인원수,노인가구,모자가구,맞벌이가구,일반가구,세대구분,배우자유무,가구주_가구주와의 관계,가구주_성별,가구주_연령,가구주_학력,가구주_취업여부,가구주_산업코드,가구주_직업코드,가구주_종사상지위,취업배우자,학업배우자,기타배우자,취업자녀수,학업자녀수,기타자녀수,거처구분,자동차 보유댓수,입주형태,월세평가액,전세보증금,월세,주거용 전용면적,주택소유구분,소득10분위,소득구간,가계지출,소비지출,food,sigar,cloth,life,household,health,traffic,telecom,culture,edu,lodge,service,insurance,도시/읍면부 구분,연차구분,engel,freetime,happy,years
1403,1,1,1,0,0,0,1,1,3,1,2,42,6,1,J,2,1,0,0,0,0,0,0,2,0,1,1185,0,0,59,1,7,5,2388713,1515709,211324,3514,66293,118633,42181,67836,208981,35943,206007,10909,411545,132544,74219,1,4,13.9,13.6,97.5,4
1415,1,3,2,0,0,1,0,2,1,1,1,34,5,1,J,7,1,0,0,0,0,0,0,1,1,2,350,0,0,50,1,9,7,1187950,762440,123224,20426.66667,57581.66667,134201,12819,66101.66667,63573.33333,27514,36920,18833.33333,117252.3333,83992.66667,42252.66667,1,3,16.2,4.8,30,3
1474,1,2,1,0,0,0,1,1,1,1,1,61,6,1,J,2,1,0,0,0,0,0,0,2,2,1,900,0,0,84,1,7,6,2471186.5,1811759.5,304976,34725,103059,110001,106085,404513,142740.5,36845.5,247500,0,100310,221004.5,161774.5,1,6,16.8,13.7,81.2,6
1602,1,2,1,0,0,0,1,1,1,1,1,45,6,1,J,2,1,0,0,0,0,0,0,2,1,1,800,0,0,60,1,7,5,1540449.5,987083,96969.5,4063,90511,104590,68438,77881.5,110060,28805.5,37924.5,0,268945,98894.5,42963.5,1,5,9.8,3.8,39.1,5
1635,1,4,1,0,0,0,1,2,1,1,1,45,6,1,J,5,1,0,0,0,0,0,0,2,1,1,900,0,0,84,1,7,5,621651.5,378925.5,72020,1457.5,8610.75,30780.75,500,11250,72541.75,14903.25,8983.25,53797.5,72483.25,31597.25,26197.25,1,5,19,2.4,12.5,5
1712,2,1,1,0,0,0,1,1,3,1,2,48,5,1,J,2,7,0,0,0,0,0,0,2,1,5,90,25000,90,53,2,3,3,1653112,990024,246238,800,20443,189960,172792,24313,17486,80997,51670,0,99114,86211,39097,1,5,24.9,5.2,21,5
1737,1,3,2,0,0,1,0,2,1,1,1,46,7,1,J,3,1,0,0,0,0,1,0,1,1,6,400,10000,400,66,1,9,7,1848771,1390036,201406.6667,33333.33333,58566.66667,181023.3333,12700,3000,102183.3333,77796.66667,128470,229666.6667,293533.3333,68356,53156,1,5,14.5,9.2,63.8,5
1755,1,3,3,0,0,1,0,2,1,1,1,64,4,1,J,3,1,0,0,0,0,0,0,2,3,1,440,0,0,59,1,10,8,1965169,1278453.667,190251.6667,22966.66667,90500.66667,128291.3333,121361.3333,170196,170874,44035.33333,130007.3333,0,111226,98743.33333,72588,1,6,14.9,10.2,68.3,6
1795,2,3,3,0,0,1,0,2,1,1,1,50,4,1,J,7,5,0,0,0,0,0,1,2,0,4,1250,250000,0,115,1,6,5,7364188.333,7197521.667,236776.6667,11100,40186.66667,1471590,3695843.333,6600,478658.3333,43728.66667,121694,0,209733.3333,881610.6667,377.3333333,1,6,3.3,1.7,51.4,6
1812,1,2,2,0,0,1,0,1,1,1,1,42,6,1,J,2,1,0,0,0,0,0,0,2,1,1,750,0,0,84,1,7,5,2025745.5,1306869,211648,27085,139013.5,90740,85594.5,41781,89246.5,81079.5,160552,0,280471.5,99657,40110,1,4,16.2,12.3,75.9,4
1897,1,4,1,0,0,0,1,2,1,1,1,56,6,1,J,7,1,0,0,0,0,0,0,2,1,1,1830,0,0,121,1,7,5,1099656,860107,101828.25,203.25,55495.75,54797.5,10645,38258.25,77935.5,27886,37459.5,237500,122708.25,95389.25,39568.5,1,6,11.8,4.4,36.8,6
1952,1,1,1,0,0,0,1,1,3,1,2,40,5,1,J,3,1,0,0,0,0,0,0,1,0,4,350,50000,0,50,2,3,2,1344884,971976,122310,0,25302,66954,274278,78946,67730,81668,41880,0,111910,100999,58759,1,4,12.6,4.3,34.2,4
1979,1,3,1,0,0,0,1,2,1,1,1,47,6,1,J,2,1,0,0,0,0,0,0,2,2,1,1000,0,0,85,1,8,7,2068566.333,1506619.333,131433.3333,0,118663.3333,69353.33333,14700,26466.66667,171733.3333,29620.66667,50193.33333,478333.3333,318260,97862,43228.66667,1,5,8.7,3.3,38.2,5
2134,2,1,1,0,0,0,1,1,3,1,1,25,5,1,J,2,5,0,0,0,0,0,0,6,0,7,250,0,250,26,2,2,2,1160290,1043790,52265,0,223500,260310,16450,2000,31500,53440,10400,0,372550,21375,12535,1,1,5,1,19.9,1
2159,1,4,2,0,0,1,0,2,1,1,1,44,6,1,J,3,1,0,0,0,0,0,0,2,2,4,1700,390000,0,153,2,8,6,1331718,1065793.75,111410.5,3376.25,89387,85681,21779.75,20508.75,168840.25,38214.75,131176,148848.5,158147.75,88423.5,49285,1,5,10.5,12.3,117.7,5
2222,2,3,2,0,0,1,0,2,1,1,1,49,6,1,J,2,5,0,0,0,0,0,1,2,1,1,1550,0,0,103,1,6,5,1040929.333,912722.6667,266250.6667,6333.333333,81914,71611,196836.6667,39100,67466.66667,68120,11333.33333,0,53533.33333,50223.66667,45890.33333,1,6,29.2,1.2,4.3,6
2259,2,4,2,0,0,1,0,2,1,1,1,40,5,1,J,2,5,0,0,0,0,0,0,2,1,1,1447,0,0,85,1,6,4,576834.75,491508,82436.25,13872,22562.5,64643.75,12588.75,14401.75,22988.75,31904.5,14818.75,101666.75,104374.5,5249.75,387.25,1,4,16.8,3,18,4
2291,1,2,2,0,0,1,0,1,1,1,1,40,6,1,J,2,1,0,0,0,0,0,0,2,2,1,1500,0,0,85,1,10,8,2944098.5,1550341.5,117678.5,16702.5,127811,116695,133036.5,68802.5,253372.5,21159.5,140528,38916.5,269563,246076,91972.5,1,4,7.6,9.1,119.4,4
2379,1,3,2,0,0,1,0,2,1,1,1,45,6,1,J,2,1,0,0,0,0,0,0,2,1,1,1300,0,0,84,1,10,8,4109294.667,3316766,122337.6667,333.3333333,54422,54153,159500.3333,146446.6667,1936934.667,64202,82373,323435.3333,229735.6667,142892.6667,41988.33333,1,5,3.7,2.5,67.3,5
2398,1,4,1,0,0,0,1,2,1,1,1,46,6,1,J,2,1,0,0,0,0,0,0,2,1,1,784,0,0,85,1,8,7,1447872.75,1084715.25,245295,0,79948.75,37596.25,59293.25,70261.25,147769.75,21842,55601.75,181250,97287.5,88570,33392.5,1,5,22.6,5.1,22.7,5
2406,1,1,1,0,0,0,1,1,3,1,1,36,6,1,J,2,1,0,0,0,0,0,0,4,1,4,340,45000,0,33,2,5,4,2168686,1475041,251075,1690,37702,78402,14175,205553,227413,66372,132740,0,246582,213338,155956,1,3,17,9,52.9,3
2446,1,2,2,0,0,1,0,1,1,1,1,31,6,1,J,2,1,0,0,0,0,0,0,4,1,1,630,0,0,51,1,7,5,1827834.5,1379561,179959.5,380.5,94183,44882,117131.5,68550,211348.5,77048.5,85837.5,0,341066,159173.5,53212,1,2,13,6.2,47.7,2
